name,runtimeInMinutes,budgetInMillions,boxOfficeRevenueInMillions,academyAwardNominations,academyAwardWins,rottenTomatoesScore,_id
The Lord of the Rings Series,558,281,2917,30,17,94,ObjectId(5cd95395de30eff6ebccde56)
The Hobbit Series,462,675,2932,7,1,66.33333333,ObjectId(5cd95395de30eff6ebccde57)
The Unexpected Journey,169,200,1021,3,1,64,ObjectId(5cd95395de30eff6ebccde58)
The Desolation of Smaug,161,217,958.4,3,0,75,ObjectId(5cd95395de30eff6ebccde59)
The Battle of the Five Armies,144,250,956,1,0,60,ObjectId(5cd95395de30eff6ebccde5a)
The Two Towers ,179,94,926,6,2,96,ObjectId(5cd95395de30eff6ebccde5b)
The Fellowship of the Ring,178,93,871.5,13,4,91,ObjectId(5cd95395de30eff6ebccde5c)
The Return of the King,201,94,1120,11,11,95,ObjectId(5cd95395de30eff6ebccde5d)
